"drug","effect","mg_kg_d"
"bosentan","abdominal liver function test lft",6.39386189258312
"bosentan","AST increase",6.39386189258312
"bosentan","peripheral oedema",6.39386189258312
"bosentan","hemoglobin decrease",6.39386189258312
"bosentan","anemia",6.39386189258312
"bosentan","flushing",6.39386189258312
"bosentan","ALT increase",6.39386189258312
"brexpiprazole","akathisia",0.0554785020804438
"brivaracetam","somnolence",0.0625
"brivaracetam","dizziness",0.0625
"brivaracetam","influenza",0.0625
"brivaracetam","headache",0.625
"brivaracetam","somnolence",1.25
"brivaracetam","fatigue",2.5
"brivaracetam","somnolence",2.5
"brivaracetam","dizziness",2.5
"bromocriptine","nausea",0.044
"bromocriptine","dizziness",0.044
"bromocriptine","fatigue",0.044
"bromocriptine","blood pressure change",0.044
"bromocriptine","vomiting",0.044
"cabergoline","nausea",0.003625
"cabergoline","constipation",0.003625
"cabergoline","dizziness",0.003625
"cabergoline","fatigue",0.003625
"candesartan","no effects meet criteria",NA
"captopril","skin rash",5.625
"captopril","taste alteration",5.625
"carbamazepine","increase in albumin",8.93997445721584
"carbamazepine","alkaline phosphatase",8.93997445721584
"carbamazepine","cholesterol",8.93997445721584
"carbamazepine","hdl",8.93997445721584
"carbamazepine","bilirubin increase",8.93997445721584
"carbamazepine","total calcium",8.93997445721584
"carbamazepine","total protein",8.93997445721584
"carbamazepine","uric acid",8.93997445721584
"carbamazepine","decrease in rbc",8.93997445721584
"carbamazepine","wbc",8.93997445721584
"carbamazepine","hematocrit",8.93997445721584
"carbamazepine","hemoglobin",8.93997445721584
"carbamazepine","mch",8.93997445721584
"carbamazepine","reticulocytes",8.93997445721584
"carbamazepine","dizziness",8.93997445721584
"carbamazepine","ataxia",8.93997445721584
"carbamazepine","nystagmus",8.93997445721584
"carbamazepine","asthenia",8.93997445721584
"carbamazepine","somnolence",8.93997445721584
"carbamazepine","diplopia",8.93997445721584
"carbamazepine"," speech disorder",8.93997445721584
"carbamazepine","amblyopia",8.93997445721584
"carbamazepine","nausea",8.93997445721584
"carbamazepine","vomiting",8.93997445721584
"carbamazepine","dyspepsia",8.93997445721584
"carbamazepine","constipation",8.93997445721584
"carbamazepine","dry mouth",8.93997445721584
"carbamazepine","pruritus",8.93997445721584
"carbamazepine","rash",8.93997445721584
"carbamazepine","tremor",8.93997445721584
"carbamazepine","vertigo",8.93997445721584
"carbamazepine","cognitive abnormality",8.93997445721584
"carbamazepine","paresthesia",8.93997445721584
"carbamazepine","twitching",8.93997445721584
"cariprazine","akathisia",0.01953125
"cariprazine","extrapyramidal disorder",0.01953125
"cariprazine","creatine phosphokinase increase",0.01953125
"cariprazine","weight increase",0.01953125
"cariprazine","increased insulin",0.01953125
"cariprazine","ALT increase",0.01953125
"cariprazine","vomiting",0.01953125
"cariprazine","increased fasting glucose",0.01953125
"celecoxib","no effects meet criteria",NA
"cerivastatin","no effects meet criteria",NA
"cevimeline","nausea",1.125
"cevimeline","sweating increased",1.125
"cinacalcet","nausea",1.0625
"cinacalcet","vomiting",1.0625
"cinacalcet","hypotension",1.0625
"cinacalcet","hypocalcemia",1.0625
"citalopram","somnolence",0.135685210312076
"citalopram","nausea",0.135685210312076
"citalopram","dry mouth",0.135685210312076
"citalopram","sinusitis",0.135685210312076
"citalopram","dry mouth",0.271370420624152
"citalopram","nausea",0.271370420624152
"citalopram","abdominal pain",0.271370420624152
"citalopram","anorexia",0.271370420624152
"citalopram","dizziness",0.271370420624152
"citalopram","somnolence",0.271370420624152
"citalopram","tremor",0.271370420624152
"citalopram","increased sweating",0.271370420624152
"citalopram","dry mouth",0.542740841248304
"citalopram","nausea",0.542740841248304
"citalopram","anorexia",0.542740841248304
"citalopram","impotence",0.542740841248304
"citalopram","insomnia",0.542740841248304
"citalopram","somnolence",0.542740841248304
"citalopram","yawning",0.542740841248304
"citalopram","tremor",0.542740841248304
"citalopram","increased sweating",0.542740841248304
"citalopram","diarrhea",0.542740841248304
"citalopram","libido decreased",0.542740841248304
"citalopram","headache",0.542740841248304
"citalopram","dizziness",0.542740841248304
"citalopram","sinusitis",0.542740841248304
"citalopram","decreased pulse rate",0.542740841248304
"citalopram","decreased systolic blood pressure",0.542740841248304
"citalopram","weight decrease",0.542740841248304
"citalopram","heart rate",0.542740841248304
"citalopram","fatigue",0.814111261872456
"citalopram","dry mouth",0.814111261872456
"citalopram","nausea",0.814111261872456
"citalopram","anorexia",0.814111261872456
"citalopram","impotence",0.814111261872456
"citalopram","insomnia",0.814111261872456
"citalopram","somnolence",0.814111261872456
"citalopram","yawning",0.814111261872456
"citalopram","tremor",0.814111261872456
"citalopram","increased sweating",0.814111261872456
"citalopram","diarrhea",0.814111261872456
"cladribine","lymphopenia",3.5
"cladribine","decrease wbc counts",3.5
"cladribine","decrease neutrophils",3.5
"cladribine","decrease lymphocytes",3.5
"clobazam","no effects meet criteria",NA
"clomipramine","tachycardia",3.125
"clomipramine","weight increase",3.125
"clomipramine","blood pressure decrease",3.125
"clomipramine","pulse increase",3.125
"clomipramine","ALT increase",3.125
"clomipramine","somnolence",3.125
"clomipramine","tremor",3.125
"clomipramine","dizziness",3.125
"clomipramine","libido change",3.125
"clomipramine","nervousness",3.125
"clomipramine","increased sweating",3.125
"clomipramine","dry mouth",3.125
"clomipramine","constipation",3.125
"clomipramine","nausea",3.125
"clomipramine","fatigue",3.125
"clomipramine","ejaculation failure",3.125
"clomipramine","impotence",3.125
"colchicine","nausea",0.01875
"colchicine","vomiting",0.01875
"colchicine","anorexia",0.01875
"colchicine","diarrhea",0.01875
"colchicine","AST increase",0.01875
"colchicine","ALT increase",0.01875
"colchicine","diarrhea",0.0075
"colesevelam","dyspepsia/constipation",28.3600493218249
"colesevelam","increase alkaline phosphatase",28.3600493218249
"colesevelam","decrease in fasting glucose",28.3600493218249
"colesevelam","dyspepsia/constipation",34.443168771527
"colesevelam","ALT increase",34.443168771527
"colesevelam","alkaline phosphatase increase",34.443168771527
"colesevelam","dyspepsia/constipation",44.1347270615563
"colesevelam","ALT increase",44.1347270615563
"colesevelam"," alkaline phosphatase increase",44.1347270615563
"colesevelam","decrease in fasting glucose",44.1347270615563
"conivaptan","no effects meet criteria",NA
"crofelemer","no effects meet criteria",NA
"cyclosporine","nausea",4
"cyclosporine","abdominal pain",4
"cyclosporine","dyspepsia",4
"cyclosporine","headache",4
"cyclosporine","tremor",4
"cyclosporine","paresthesia",4
"cyclosporine","hypertrichosis",4
"cyclosporine","hypertension",4
"cyclosporine","upper respiratory tract infection",4
"cyclosporine","renal insufficiency",4
"cyclosporine","creatinine increase",4
"danazol","weight increase",2.5
"danazol","nausea",2.5
"danazol","acne",2.5
"danazol","amenorrhea",2.5
"danazol","weight increase",5
"danazol","nausea",5
"danazol","acne",5
"danazol","breast decrease",5
"danazol","appetite increase",5
"danazol","bloating",5
"danazol","hot flashes",5
"danazol","breast softer",5
"darifenacin","dry mouth",0.09375
"darifenacin","constipation",0.09375
"deferasirox","pyrexia",5
"deferasirox","anemia",5
"deferasirox","abdominal pain upper",5
"deferasirox","influenze",5
"deferasirox","pharyngitis",5
"deferasirox","creatinine",5
"deferasirox","abdominal pain upper",10
"deferasirox","abdominal pain",10
"deferasirox","anemia",10
"deferasirox","gastroenteritis",10
"deferasirox","influenza",10
"deferasirox","oropharyngeal pain",10
"deferasirox","rash",10
"deferasirox","rhinitis blood creatinine",10
"deferasirox","creatinine clearance",10
"deferasirox","headache",10
"deferasirox","diarrhea",10
"deferasirox","rash,",10
"desloratadine","no effects meet criteria",NA
"desvenlafaxine","nausea",0.625
"desvenlafaxine","dry mouth",0.625
"desvenlafaxine","insomnia",0.625
"desvenlafaxine","dizziness",0.625
"desvenlafaxine","sweating",0.625
"desvenlafaxine","proteinuria",0.625
"desvenlafaxine","nausea",1.25
"desvenlafaxine","dry mouth",1.25
"desvenlafaxine","insomnia",1.25
"desvenlafaxine","sweating",1.25
"desvenlafaxine","anorexia",1.25
"desvenlafaxine","headache",1.25
"desvenlafaxine","asthenia",1.25
"desvenlafaxine","anxiety",1.25
"desvenlafaxine","impotence",1.25
"desvenlafaxine","proteinuria",1.25
"desvenlafaxine","increased blood pressure",1.25
"desvenlafaxine","hypertension",5
"desvenlafaxine","tachycardia",5
"desvenlafaxine","weight decrease",5
"desvenlafaxine","increase in total cholesterol",5
"desvenlafaxine","increase ldl cholesterol",5
"desvenlafaxine","increase triglycerides",5
"desvenlafaxine","nausea",5
"desvenlafaxine","dry mouth",5
"desvenlafaxine","insomnia",5
"desvenlafaxine","sweating",5
"desvenlafaxine","somnolence",5
"desvenlafaxine","dizziness",5
"desvenlafaxine","anorgasmia",5
"desvenlafaxine","mydriasis",5
"desvenlafaxine","proteinuria",5
"deutetrabenazine","somnolence",0.647423792824386
"deutetrabenazine","diarrhea",0.647423792824386
"deutetrabenazine","fatigue",0.647423792824386
"deutetrabenazine","urinary tract infection",0.647423792824386
"diclofenac","no effects meet criteria",3.75
"digoxin","diarrhea",0.002625
"dimethyl","flushing",6
"dimethyl","abdominal pain",6
"dimethyl","rash",6
"dimethyl","hot flush",6
"dimethyl","lymphopenia",6
"dimethyl","increase in eosinophil count",6
"dimethyl","serum bicarbonate increase",6
"dimethyl","serum chloride decrease",6
"dimethyl","decrease in triglycerides",6
"dimethyl","increase in parathyroid hormone",6
"dimethyl","decrease vitamin d",6
"dimethyl","flushing",9
"dimethyl","diarrhea",9
"dimethyl","nausea",9
"dimethyl","hot flush",9
"dimethyl","lymphopenia",9
"dimethyl","serum bicarbonate increase",9
"dimethyl","serum chloride decrease",9
"dimethyl","decrease in triglycerides",9
"dimethyl","increase in parathyroid hormone",9
"dimethyl","decrease vitamin d",9
"dofetilide","no effects meet criteria",0.00625
"dronedarone","increase in creatine",10
"dronedarone","decrease in blood pressure",10
"dronedarone","heart rate decrease",10
"dronedarone","prolonged pr interval",10
"dronedarone","change in qt interval",10
"dronedarone","gastrointestinal symptoms",10
"duloxetine","nausea",0.25
"duloxetine","diarrhea",0.25
"duloxetine","weight decrease",0.25
"duloxetine","blood pressure change",0.25
"duloxetine","ALT increase",0.25
"duloxetine","AST increase",0.25
"duloxetine","nausea",0.75
"duloxetine","somnolence",0.75
"duloxetine","dizziness",0.75
"duloxetine","constipation",0.75
"duloxetine","diarrhea",0.75
"duloxetine","fatigue",0.75
"duloxetine","decreased appetite + anorexia",0.75
"duloxetine","weight decrease",0.75
"duloxetine","blood pressure change",0.75
"duloxetine","ALT increase",0.75
"duloxetine","AST increase",0.75
"duloxetine","nausea",1.5
"duloxetine","somnolence",1.5
"duloxetine","dizziness",1.5
"duloxetine","insomnia",1.5
"duloxetine","constipation",1.5
"duloxetine","fatigue",1.5
"duloxetine","dry mouth",1.5
"duloxetine","hyperhidrosis",1.5
"duloxetine","asthenia",1.5
"duloxetine","decreased appetite + anorexia",1.5
"duloxetine","decreased appetite",1.5
"duloxetine","weight decrease",1.5
"duloxetine","blood pressure change",1.5
"duloxetine","ALT increase",1.5
"duloxetine","AST increase",1.5
"dutasteride","removed as table 8 shows percent differences of less than 5%",NA
"eliglustat","nasopharyngitis",2.91545189504373
"eliglustat","sinusitis",2.91545189504373
"eliglustat","flatulence",2.91545189504373
"eliglustat","nausea",2.91545189504373
"eliglustat","headache",2.91545189504373
"eliglustat","migraine",2.91545189504373
"eliglustat","arthralgia",2.91545189504373
"eliglustat","pyrexia",2.91545189504373
"eliglustat","oropharyngeal pain",2.91545189504373
"eliglustat","nasal obstruction,",2.91545189504373
"eltrombopag","grade 1 alkaline phosphatase",0.625
"eltrombopag","ALT increase",0.625
"eltrombopag","AST increase",0.625
"eltrombopag","bilirubin increase",0.625
"eltrombopag","bilirubin increase",0.625
"eltrombopag","ascites",0.625
"eltrombopag","glucose increase",0.625
"eltrombopag","hemoglobin decrease",0.625
"eltrombopag","creatinine above threshold",0.625
"eltrombopag","blood urea nitrogen change",0.625
"empagliflozin","no effects meet criteria",NA
"enalapril","anemia",0.075187969924812
"enalapril","hyperkalemia",0.075187969924812
"enalapril","serum creatinine increase",0.075187969924812
"enalapril","hemoglobin",0.075187969924812
"enalapril","change in potassium",0.075187969924812
"enalapril","hematocrit decrease",0.075187969924812
"enalapril","hypotension",0.075187969924812
"enzalutamide","hot flushes",2
"enzalutamide","headache",2
"enzalutamide","hypertension",2
"enzalutamide","falls",2
"enzalutamide","non-pathologic fracture",2
"enzalutamide","memory impairment",2
"enzalutamide","pruritis/dry skin; table 46: neutrapenia",2
"enzalutamide","AST increase",2
"enzalutamide","ALT increase",2
"enzalutamide","hyperglycemia",2
"enzalutamide","AST increase",2
"eplerenone","hyperkalemia",0.54375
"erlotinib","diarrhea",1.875
"erlotinib","nausea",1.875
"erlotinib","vomiting",1.875
"erlotinib","mucosal inflammation",1.875
"erlotinib","cough",1.875
"erlotinib","dyspnoea",1.875
"erlotinib","rash",1.875
"erlotinib","dry skin",1.875
"erlotinib","pruritis",1.875
"erlotinib","back pain",1.875
"erlotinib","acne",1.875
"erlotinib","skin fissures",1.875
"erlotinib","anorexia",1.875
"eszopiclone","somnolence",0.0375
"eszopiclone","infection",0.0375
"eszopiclone","dizziness",0.0375
"eszopiclone","unpleasant taste",0.0375
"eszopiclone","pharyngitis",0.0375
"eszopiclone","back pain",0.0375
"eszopiclone","dry mouth",0.0375
"everolimus","anemia",0.125
"everolimus","abdominal pain",0.125
"everolimus","dyspnea",0.125
"everolimus","stomatitis",0.125
"everolimus","hyperglycemia",0.125
"everolimus","pneumonitis",0.125
"everolimus","asthenia",0.125
"everolimus","hypercholesterolemia",0.125
"everolimus","vomiting",0.125
"everolimus","lymphopenia",0.125
"everolimus","hematopoiesis decreased / cytopenias",0.125
"everolimus","rash",0.125
"everolimus","renal events",0.125
"everolimus","pulmonary events",0.125
"everolimus","thrombocytopenia",0.125
"everolimus","hypertrigylceridemia",0.125
"everolimus","blood creatinine increase",0.125
"everolimus","pyrexia",0.125
"everolimus","cough",0.125
"everolimus","mucosal inflammation",0.125
"everolimus","edema peripheral",0.125
"everolimus","back pain",0.125
"everolimus","hyperglycemia,",0.125
"ezetimibe","no effects meet criteria",NA
"famotidine","no effects meet criteria",NA
"febuxostat","ALT increase",1
"febuxostat","AST increase",1
"febuxostat","blood urea nitrogen change",1
"fedratinib","anemia",5
"fedratinib","thrombocytopenia",5
"fedratinib","fatigue",5
"fedratinib","diarrhea",5
"fedratinib","constipation",5
"fedratinib","peripheral edema",5
"fedratinib","asthenia",5
"fedratinib","uti",5
"fedratinib","ALT increase",5
"fedratinib","weight increase",5
"fedratinib","AST increase",5
"fedratinib","muscle spasms",5
"fedratinib","bone pain",5
"fedratinib","pain in extremity",5
"fedratinib","cough",5
"fedratinib","dyspnea",5
"fedratinib","dizziness",5
"fedratinib","headache",5
"fedratinib","anemia",6.25
"fedratinib","thrombocytopenia",6.25
"fedratinib","neutropenia",6.25
"fedratinib","vomiting",6.25
"fedratinib","fatigue",6.25
"fedratinib","lipase increase",6.25
"fedratinib","diarrhea",6.25
"fedratinib","nausea",6.25
"fedratinib","constipation",6.25
"fedratinib","asthenia",6.25
"fedratinib","uti",6.25
"fedratinib","ALT increase",6.25
"fedratinib","weight decrease",6.25
"fedratinib","AST increase",6.25
"fedratinib","muscle spasms",6.25
"fedratinib","bone pain",6.25
"fedratinib","cough",6.25
"fedratinib","dyspnea",6.25
"fedratinib","hyperkalemia",6.25
"fedratinib","dizziness",6.25
"fedratinib","headache",6.25
"fedratinib","neutrophil decrease",6.25
"felbamate","weight decrease",45
"felbamate","fatigue",45
"felbamate","headache",45
"felbamate","somnolence",45
"felbamate","insomnia",45
"felbamate","nausea",45
"felbamate","anorexia",45
"felbamate","vomiting",45
"felbamate","dyspepsia",45
"felbamate","abdominal pain",45
"felbamate","constipation",45
"felbamate","depression",45
"felbamate","diplopia",45
"felbamate","taste perversion",45
"felbamate","dizziness",45
"felbamate","vision abnormality,",45
"fenofibrate","ALT increase",3.75
"fenofibrate","AST increase",3.75
"fenofibrate","blood urea nitrogen change",3.75
"fenofibrate","creatinine increase",3.75
"fenofibrate","hemoglobin decrease",3.75
"fenofibrate","decrease uric acid",3.75
"fenofibrate","anemia",3.75
"fenofibrate","leucopenia",3.75
"fenofibrate","eosinophilia",3.75
"fenofibrate","thrombocytopenia",3.75
"fenofibrate"," increased creatinine phosphokinase",3.75
"ferric","flatulence",0.75
"ferric","abdominal pain",0.75
"ferric","constipation",0.75
"fesoterodine","dry mouth",0.05
"fesoterodine","dry mouth",0.15
"fesoterodine","headache",0.15
"fesoterodine","constipation",0.15
"fesoterodine","dry throat",0.15
"fexofenadine","cardiac terms",3
"finasteride","libido decrease,impotence",0.0125
"finasteride","ejaculation disorder",0.0125
"fingolimod","decrease wbc",0.00625
"fingolimod","decrease lymphocyte",0.00625
"fingolimod","ALT increase",0.00625
"fingolimod","AST increase",0.00625
"fingolimod","blood pressure change",0.00625
"fingolimod","ALT increase",0.015625
"fingolimod","decrease wbc",0.015625
"fingolimod","decrease lymphocyte",0.015625
"fingolimod","AST increase",0.015625
"fingolimod","blood pressure change",0.015625
"fingolimod","diarrhea",0.0625
"fingolimod","dyspnea",0.0625
"fingolimod","pyrexia",0.0625
"fingolimod","leukopenia",0.0625
"fingolimod","ALT increase",0.0625
"fingolimod","AST increase",0.0625
"fingolimod","blood pressure change",0.0625
"fluoxetine","weight change",1
"fluoxetine","anorexia",1
"fluoxetine","nausea",1
"fluoxetine","diarrhea",1
"fluoxetine","anxiety",1
"fluoxetine","nervousness",1
"fluoxetine","insomnia",1
"fluoxetine","tremor",1
"fluoxetine","sweating",1
"fluoxetine","dizziness and drowsiness",1
"galantamine","no effects meet criteria",NA
"hydrochlorothiazide","no effects meet criteria",NA
"hydroxyurea","severe myelotoxicity",2
"hydroxyurea","neutropenia",2
"hydroxyurea","low reticulocyte count",2
"ibandronate","no effects meet criteria",NA
"ibuprofen","no effects meet criteria",NA
"iloprost","vasodilation",0.000125
"iloprost","headache",0.000125
"iloprost","nausea",0.000125
"indomethacin","high diastolic blood pressure",0.810810810810811
"indomethacin","reduced heart rate",0.810810810810811
"indomethacin","reduced oral body temperature",0.810810810810811
"indomethacin","hypertension",1.08108108108108
"indomethacin","high systolic blood pressure",1.08108108108108
"indomethacin","high diastolic blood pressure",1.08108108108108
"indomethacin","reduced heart rate",1.08108108108108
"indomethacin","reduced oral body temperature",1.08108108108108
"indomethacin","hypertension",1.62162162162162
"indomethacin","high systolic blood pressure",1.62162162162162
"indomethacin","reduced heart rate",1.62162162162162
"indomethacin","reduced oral body temperature",1.62162162162162
"irbesartan","dizziness",3.75
"irbesartan","increased serum potassium",3.75
"isavuconazonium","diarrhea",0.5
"isavuconazonium","headache",0.5
"isavuconazonium","fatigue",0.5
"isavuconazonium","nasopharyngitis",0.5
"isavuconazonium","rhinitis",0.5
"isavuconazonium","cough",0.5
"isavuconazonium","pain in extremity",0.5
"isavuconazonium","back pain",0.5
"isavuconazonium","vessel puncture site reaction",0.5
"isavuconazonium","haematoma",0.5
"isavuconazonium","dizziness",0.625
"isavuconazonium","abdominal pain",0.625
"isavuconazonium","nasopharyngitis",0.625
"isavuconazonium","rhinitis",0.625
"isavuconazonium","vessel puncture site reaction",0.625
"isavuconazonium","headache",1
"isavuconazonium","fatigue",1
"isavuconazonium","nasopharyngitis",1
"isavuconazonium","rhinitis",1
"isavuconazonium","gingivitis",1
"isavuconazonium","puncture site pain",1
"isavuconazonium","headache",1.25
"isavuconazonium","nausea",1.25
"isavuconazonium","diarrhea",1.25
"isavuconazonium","fatigue",1.25
"isavuconazonium","oropharyngeal pain",1.25
"isavuconazonium","catheter site pain",1.875
"isavuconazonium","catheter site haematoma",1.875
"isavuconazonium","diarrhea",2.5
"isavuconazonium","feeling hot",2.5
"isavuconazonium","headache",7.5
"isavuconazonium","nausea",7.5
"isavuconazonium","diarrhea",7.5
"isavuconazonium","dizziness",7.5
"isavuconazonium","hot flush",7.5
"isavuconazonium","vomiting",7.5
"isavuconazonium","paraesthesia",7.5
"isavuconazonium","dry mouth",7.5
"isavuconazonium","dysgeusia",7.5
"isavuconazonium","lip dry",7.5
"isavuconazonium","hypoaesthesia oral",7.5
"isavuconazonium","anxiety",7.5
"isavuconazonium","arthralgia",7.5
"isavuconazonium","disturbance in attention",7.5
"isavuconazonium","palpitations",7.5
"isavuconazonium","photophobia",7.5
"isavuconazonium","poisoning",7.5
"isavuconazonium","restlessness",7.5
"isavuconazonium","tachycardia",7.5
"isavuconazonium","qt shortening",7.5
"ivabradine","bradycardia",0.1875
"ivabradine","arrhythmia",0.1875
"lamivudine","ALT increase",1.25
"lamivudine","malaise & fatigue",1.25
"lamivudine","nasal signs & symptoms",1.25
"lamivudine","sexual function disorders",1.25
"lamivudine","abnormal lfts",1.25
"lamivudine","hypertension",1.25
"lamivudine","gi signs and symptoms",1.25
"lamivudine","cough",1.25
"lamivudine","arthralgia & articular rheumatism",1.25
"lansoprazole","no effects meet criteria",NA
"lanthanum","nausea",10.2459016393443
"lanthanum","headache",10.2459016393443
"leflunomide","diarrhea",0.25
"leflunomide","lft abnormal",0.25
"leflunomide","rash",0.25
"leflunomide","alopecia",0.25
"leflunomide","ALT increase",0.25
"leflunomide","AST increase",0.25
"leflunomide","alkaline phosphase increase",0.25
"leflunomide","uricosuria",0.25
"leflunomide","hypophosphatemia",0.25
"leflunomide","hypertension",0.25
"lenalidomide","neutropenia",0.0625
"lenalidomide","thrombocytopenia",0.0625
"lenalidomide","leukopenia",0.0625
"lenalidomide","diarrhea",0.0625
"lenalidomide","nausea",0.0625
"lenalidomide","constipation",0.0625
"lenalidomide","pruritis",0.0625
"lenalidomide","rash",0.0625
"lenalidomide","dry skin",0.0625
"lenalidomide","fatigue",0.0625
"lenalidomide","edema peripheral",0.0625
"lenalidomide","pyrexia",0.0625
"lenalidomide","muscle spasms",0.0625
"lenalidomide","arthralgia",0.0625
"lenalidomide","headache",0.0625
"lenalidomide","paraesthesia",0.0625
"lenalidomide","ALT increase",0.0625
"lenvatinib","diarrhea",0.221009549795362
"lenvatinib","hypertension",0.221009549795362
"lenvatinib","decreased appetite",0.221009549795362
"lenvatinib","proteinuria",0.221009549795362
"lenvatinib","weight decrease",0.221009549795362
"lenvatinib","nausea",0.221009549795362
"lenvatinib","palmar-plantar erythrodysesthesia syndrome",0.221009549795362
"lenvatinib","asthenia",0.221009549795362
"lenvatinib","fatigue",0.221009549795362
"lenvatinib","stomatitis",0.221009549795362
"lenvatinib","vomiting",0.221009549795362
"lenvatinib","arthralgia",0.221009549795362
"lenvatinib","hypertension",0.221009549795362
"lenvatinib","blood creatinine increase",0.221009549795362
"lenvatinib","blood urea nitrogen change",0.221009549795362
"lenvatinib","hypoalbuminemia",0.221009549795362
"lenvatinib","ALT increase",0.221009549795362
"lenvatinib","AST increase",0.221009549795362
"lenvatinib","hypocalcemia",0.221009549795362
"lenvatinib","epistaxis",0.221009549795362
"lenvatinib","dysphonia",0.221009549795362
"lenvatinib","constipation",0.221009549795362
"lenvatinib","asthenia",0.221009549795362
"lenvatinib","cough",0.221009549795362
"lenvatinib","edema peripheral",0.221009549795362
"lenvatinib","rash",0.221009549795362
"lenvatinib","dehydration",0.221009549795362
"lenvatinib","dizziness",0.221009549795362
