"drug","casrn.x","dtxsid","dtxcid","preferredName","hasStructureImage","smiles","isMarkush","searchName","searchValue","rank","isDuplicate","QSAR_Ready_SMILES","Canonical_SMILES","surr.pod.gen","surr.pod.repdev","pod.gen","lb.gen","ub.gen","cum_freq.gen","pod.repdev","lb.repdev","ub.repdev","cum_freq.repdev","casrn.y","Name","pod.min","pod.min.lb"
"berotralstat dihydrochloride","1809010-52-3","DTXSID101336677","DTXCID201766912","Berotralstat hydrochloride",1,"Cl.Cl.NCC1=CC(=CC=C1)N1N=C(C=C1C(=O)NC1=CC(=CC=C1F)[C@H](NCC1CC1)C1=CC=CC(=C1)C#N)C(F)(F)F",FALSE,"Synonym","BEROTRALSTAT DIHYDROCHLORIDE",15,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bosentan","147536-97-8","DTXSID7046627","DTXCID5026627","Bosentan",1,"COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1",FALSE,"Approved Name","BOSENTAN",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brexpiprazole","913611-97-9","DTXSID40238527","DTXCID90161018","Brexpiprazole",1,"O=C1NC2=C(C=C1)C=CC(OCCCCN1CCN(CC1)C1=C3C=CSC3=CC=C1)=C2",FALSE,"Approved Name","BREXPIPRAZOLE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brivaracetam","357336-20-0","DTXSID00905081","DTXCID601334183","(2S)-2-((4R)-2-Oxo-4-propylpyrrolidin-1-yl)butanamide",1,"CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1",FALSE,"Integrated Source Name","BRIVARACETAM",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bromocriptine mesylate","22260-51-1","DTXSID6020197","DTXCID00197","Bromocriptine mesylate",1,"CS(O)(=O)=O.CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C",FALSE,"Integrated Source Name","BROMOCRIPTINE MESYLATE",16,FALSE,"CN1CC(C=C2C1CC1=C(Br)NC3=CC=CC2=C13)C(=O)NC1(OC2(O)C3CCCN3C(=O)C(CC(C)C)N2C1=O)C(C)C","CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O",NA,NA,7.200667293,0.525340643,98.6971218,0.460595848,28.87905687,3.198075557,260.7818079,0.54698106,"22260-51-1","Bromocriptine mesylate",7.200667293,0.525340643
"cabergoline","81409-90-7","DTXSID6022719","DTXCID502719","Cabergoline",1,"CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(CC=C)C1",FALSE,"Integrated Source Name","CABERGOLINE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"candesartan cilexetil","145040-37-5","DTXSID5020239","DTXCID50239","Candesartan cilexetil",1,"CCOC1=NC2=CC=CC(C(=O)OC(C)OC(=O)OC3CCCCC3)=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1",FALSE,"Integrated Source Name","CANDESARTAN CILEXETIL",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"captopril","62571-86-2","DTXSID1037197","DTXCID9017197","Captopril",1,"C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O",FALSE,"Integrated Source Name","CAPTOPRIL",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carbamazepine","298-46-4","DTXSID4022731","DTXCID902731","Carbamazepine",1,"NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12",FALSE,"Integrated Source Name","CARBAMAZEPINE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cariprazine hydrochloride","1083076-69-0","DTXSID101026486","DTXCID801510664","Cariprazine hydrochloride",1,"Cl.CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)C2=C(Cl)C(Cl)=CC=C2)CC1",FALSE,"Approved Name","CARIPRAZINE HYDROCHLORIDE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"celecoxib","169590-42-5","DTXSID0022777","DTXCID502777","Celecoxib",1,"CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F",FALSE,"Integrated Source Name","CELECOXIB",16,FALSE,"CC1C=CC(=CC=1)C1=CC(=NN1C1C=CC(=CC=1)S(N)(=O)=O)C(F)(F)F","Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1",NA,3.157044675071,6.827010195,0.498079661,93.57552979,0.440491155,NA,NA,NA,0.0368836184947596,"169590-42-5","Celecoxib",6.827010195,0.498079661
"cerivastatin sodium","143201-11-0","DTXSID0046488","DTXCID8026488","Cerivastatin sodium",1,"[Na+].COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(N=C1C(C)C)C(C)C",FALSE,"Integrated Source Name","CERIVASTATIN SODIUM",16,FALSE,"CC(C)C1N=C(C(C)C)C(C=CC(O)CC(O)CC(O)=O)=C(C=1COC)C1C=CC(F)=CC=1","COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]",NA,NA,5.452493116,0.397798721,74.73548705,0.348204218,7.546196272,0.835668075,68.14317779,0.103851429,"143201-11-0","Cerivastatin sodium",5.452493116,0.397798721
"cevimeline hydrochloride","107220-28-0","DTXSID10891421","DTXCID901768395","Cevimeline hydrochloride",1,"Cl.C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1",FALSE,"Approved Name","CEVIMELINE HYDROCHLORIDE",9,FALSE,"CC1OC2(CN3CCC2CC3)CS1","C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1.Cl",NA,NA,9.825899551,0.716870282,134.6802963,0.565823765,17.53589766,1.941930651,158.3515389,0.403562441,"107220-28-0","Cevimeline hydrochloride",9.825899551,0.716870282
"cinacalcet hydrochloride","364782-34-3","DTXSID3046792","DTXCID1026792","Cinacalcet hydrochloride",1,"Cl.C[C@@H](NCCCC1=CC=CC(=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12",FALSE,"Approved Name","CINACALCET HYDROCHLORIDE",9,FALSE,"CC(NCCCC1C=C(C=CC=1)C(F)(F)F)C1=CC=CC2=CC=CC=C21","C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl",NA,NA,5.500577257,0.401306806,75.39456018,0.351946623,9.38796507,1.039626112,84.77460031,0.162724302,"364782-34-3","Cinacalcet hydrochloride",5.500577257,0.401306806
"citalopram hydrobromide","59729-32-7","DTXSID40872344","DTXCID60819993","Citalopram hydrobromide",1,"Br.CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1",FALSE,"Approved Name","CITALOPRAM HYDROBROMIDE",9,FALSE,"CN(C)CCCC1(OCC2C=C(C=CC1=2)C#N)C1C=CC(F)=CC=1","Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21",NA,NA,3.464968103,0.252794428,47.49315098,0.175182391,15.24452055,1.68818285,137.6600921,0.357782385,"59729-32-7","Citalopram hydrobromide",3.464968103,0.252794428
"cladribine","4291-63-8","DTXSID8022828","DTXCID602828","Cladribine",1,"NC1=NC(Cl)=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1",FALSE,"Integrated Source Name","CLADRIBINE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clobazam","22316-47-8","DTXSID2046759","DTXCID0026759","Clobazam",1,"CN1C2=CC=C(Cl)C=C2N(C2=CC=CC=C2)C(=O)CC1=O",FALSE,"Integrated Source Name","CLOBAZAM",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clomipramine hydrochloride","17321-77-6","DTXSID3042633","DTXCID1022633","Clomipramine hydrochloride",1,"Cl.CN(C)CCCN1C2=C(CCC3=C1C=C(Cl)C=C3)C=CC=C2",FALSE,"Integrated Source Name","CLOMIPRAMINE HYDROCHLORIDE",16,FALSE,"CN(C)CCCN1C2C=CC=CC=2CCC2C=CC(Cl)=CC1=2","CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl",NA,NA,2.889291567,0.210794671,39.60254656,0.124094268,11.4323815,1.266025411,103.2359585,0.240571803,"17321-77-6","Clomipramine hydrochloride",2.889291567,0.210794671
"colchicine","64-86-8","DTXSID5024845","DTXCID204845","Colchicine",1,"COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O",FALSE,"Integrated Source Name","COLCHICINE",16,FALSE,"CC(=O)NC1CCC2C=C(OC)C(OC)=C(OC)C=2C2=CC=C(OC)C(=O)C=C21","COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2",NA,NA,6.518390375,0.475563618,89.34538185,0.422070358,15.65525224,1.733667403,141.3690551,0.366919977,"64-86-8","Colchicine",6.518390375,0.475563618
"colesevelam hydrochloride","182815-44-7","DTXSID50921256",NA,"Colesevelam hydrochloride",0,NA,TRUE,"Approved Name","COLESEVELAM HYDROCHLORIDE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"conivaptan hydrochloride","168626-94-6","DTXSID70168585","DTXCID9091076","Conivaptan hydrochloride",1,"Cl.CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1",FALSE,"Approved Name","CONIVAPTAN HYDROCHLORIDE",9,FALSE,"CC1NC2CCN(C3=CC=CC=C3C=2N=1)C(=O)C1C=CC(=CC=1)NC(=O)C1=CC=CC=C1C1C=CC=CC=1","Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2.Cl",NA,NA,41.34548309,3.016451365,566.708614,0.898879145,190.3384906,21.07814244,1718.782435,0.983144865,"168626-94-6","Conivaptan hydrochloride",41.34548309,3.016451365
"crofelemer","148465-45-6","DTXSID50858715",NA,"Crofelemer",0,NA,TRUE,"Approved Name","CROFELEMER",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cyclosporine","59865-13-3","DTXSID0020365","DTXCID00365","Cyclosporin A",1,"[H][C@@]1([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C",FALSE,"Synonym from Valid Source","CYCLOSPORINE",11,FALSE,"CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C","C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C",NA,NA,40.2229163,2.934552017,551.321969,0.894917697,40.97115893,4.537158624,369.9751327,0.651956331,"59865-13-3","Cyclosporin A",40.2229163,2.934552017
"danazol","17230-88-5","DTXSID2022880","DTXCID202880","Danazol",1,"C[C@]12CC[C@H]3[C@@H](CCC4=CC5=C(C[C@]34C)C=NO5)[C@@H]1CC[C@@]2(O)C#C",FALSE,"Integrated Source Name","DANAZOL",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"darifenacin hydrobromide","133099-07-7","DTXSID9046780","DTXCID7026780","Darifenacin hydrobromide",1,"Br.NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1",FALSE,"Approved Name","DARIFENACIN HYDROBROMIDE",9,FALSE,"NC(=O)C(C1CN(CC1)CCC1=CC2CCOC=2C=C1)(C1C=CC=CC=1)C1C=CC=CC=1","Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1",NA,NA,1.756260778,0.128131898,24.07247508,0.047687973,13.93928937,1.543641152,125.8736772,0.323975039,"133099-07-7","Darifenacin hydrobromide",1.756260778,0.128131898
"deferasirox","201530-41-8","DTXSID1048596","DTXCID1028522","Deferasirox",1,"OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O",FALSE,"Integrated Source Name","DEFERASIROX",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"desloratadine","100643-71-8","DTXSID1044196","DTXCID9024196","Desloratadine",1,"ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1",FALSE,"Integrated Source Name","DESLORATADINE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"desvenlafaxine succinate","448904-47-0","DTXSID701044359","DTXCID301526618","O-Desmethylvenlafaxine succinate",1,"OC(=O)CCC(O)=O.CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1",FALSE,"Synonym","DESVENLAFAXINE SUCCINATE",15,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deutetrabenazine","1392826-25-3","DTXSID601027934","DTXCID801513501","Deutetrabenazine",1,"[H][C@]12CC(=O)[C@H](CC(C)C)CN1CCC1=C2C=C(OC([2H])([2H])[2H])C(OC([2H])([2H])[2H])=C1",FALSE,"Synonym","DEUTETRABENAZINE",15,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diclofenac sodium","15307-79-6","DTXSID3037208","DTXCID1017208","Diclofenac sodium",1,"[Na+].[O-]C(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1",FALSE,"Integrated Source Name","DICLOFENAC SODIUM",16,FALSE,"OC(=O)CC1=CC=CC=C1NC1C(Cl)=CC=CC=1Cl","O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]",NA,NA,1.299463186,0.094805217,17.81130431,0.030877642,2.147314226,0.237794232,19.39053926,0.02919748,"15307-79-6","Diclofenac sodium",1.299463186,0.094805217
