Molecule ChEMBL ID,Parent Molecule ChEMBL ID,Parent Molecule Name,Warning Type,Warning Class,Description,Country/Year,EFO ID,EFO Term,EFO ID for Warning Class,References
CHEMBL3707382,CHEMBL3707382,VESTRONIDASE ALFA,Black Box Warning,None,None,United States: None,None,None,None,Type: DailyMed RefID: 925d4e21-fd98-474d-a34d-a0b3558ed750 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=925d4e21-fd98-474d-a34d-a0b3558ed750
CHEMBL1441059,CHEMBL714,ALBUTEROL,Black Box Warning,None,None,United States: None,None,None,None,Type: DailyMed RefID: 8c278b6f-d32b-b750-e053-2995a90ad7e9 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8c278b6f-d32b-b750-e053-2995a90ad7e9|Type: DailyMed RefID: 55f4153f-4eed-6565-e054-00144ff88e88 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f4153f-4eed-6565-e054-00144ff88e88
CHEMBL1201824,CHEMBL1201824,ALGLUCOSIDASE ALFA,Black Box Warning,immune system toxicity,None,United States: None,None,None,EFO:0011053,Type: DailyMed RefID: d6bfbc45-2d34-439e-8aad-59ee2d53d4df URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d6bfbc45-2d34-439e-8aad-59ee2d53d4df
CHEMBL2364609,CHEMBL395091,ESKETAMINE,Black Box Warning,misuse,None,United States: None,None,None,EFO:0011049,Type: DailyMed RefID: d81a6a79-a74a-44b7-822c-0dfa3036eaed URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d81a6a79-a74a-44b7-822c-0dfa3036eaed
CHEMBL4297088,CHEMBL790,CHLORHEXIDINE,Withdrawn,dermatological toxicity,associated with chemical and thermal burns,United States: 1984,EFO:0020910,thermal burn,EFO:0011048,Type: USGPO RefID: FR-1998-10-08/html/98-26923.htm URL: https://www.govinfo.gov/content/pkg/FR-1998-10-08/html/98-26923.htm|Type: USGPO RefID: FR-1998-10-08/html/98-26923.htm URL: https://www.govinfo.gov/content/pkg/FR-1998-10-08/html/98-26923.htm
CHEMBL288470,CHEMBL288470,AMINOPYRINE,Withdrawn,hematological toxicity,Agranulocytosis,"United States: 1970,United Kingdom: 1970,Germany: 1970,France: 1970",HP:0012234,Agranulocytosis,EFO:0011051,Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: USGPO RefID: FR-2014-07-02/pdf/2014-15371.pdf URL: https://www.govinfo.gov/content/pkg/FR-2014-07-02/pdf/2014-15371.pdf
CHEMBL5095051,CHEMBL637,VENLAFAXINE,Black Box Warning,None,None,United States: None,None,None,None,
CHEMBL752,CHEMBL752,ADENOSINE PHOSPHATE,Withdrawn,None,"Not safe or effective for intended use as vasodilator, anti-inflammatory",United States: 1973,EFO:0009658,adverse effect,None,Type: FDA RefID: FDA-1999-N-0194-0010 URL: https://www.regulations.gov/document/FDA-1999-N-0194-0010|Type: FDA RefID: FDA-1999-N-0194-0010 URL: https://www.regulations.gov/document/FDA-1999-N-0194-0010
CHEMBL1113,CHEMBL1113,AMOXAPINE,Black Box Warning,psychiatric toxicity,None,United States: None,None,None,EFO:0011059,Type: DailyMed RefID: a16297df-3158-48db-85e5-5cd506885556 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a16297df-3158-48db-85e5-5cd506885556|Type: FDA RefID: eed5e856-dd7b-4eaa-9dad-508f2bef9328 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eed5e856-dd7b-4eaa-9dad-508f2bef9328
CHEMBL1201587,CHEMBL1201587,ALEMTUZUMAB,Black Box Warning,neurotoxicity,None,United States: None,None,None,EFO:0011057,Type: DailyMed RefID: 6236b0bc-82e9-4447-9a78-f57d94770269 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6236b0bc-82e9-4447-9a78-f57d94770269
CHEMBL4208954,CHEMBL177,AMIKACIN,Black Box Warning,neurotoxicity,None,United States: None,None,None,EFO:0011057,Type: DailyMed RefID: f260ff2a-76a0-4672-9516-91c344b67890 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f260ff2a-76a0-4672-9516-91c344b67890|Type: DailyMed RefID: c0f57839-1c9b-49e5-8c7a-708e2d16495d URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0f57839-1c9b-49e5-8c7a-708e2d16495d|Type: DailyMed RefID: a43188fa-f228-4acd-8a5d-9a3462034f4b URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a43188fa-f228-4acd-8a5d-9a3462034f4b|Type: FDA RefID: 7791d3e1-9287-4f75-b4f0-e5d35cacfd6e URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7791d3e1-9287-4f75-b4f0-e5d35cacfd6e
CHEMBL1200400,CHEMBL1542,AZATHIOPRINE,Black Box Warning,carcinogenicity,None,United States: None,None,None,EFO:0011046,Type: DailyMed RefID: 9ffe79a1-ac91-4a7b-a9e3-7c84bfa9ddf0 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9ffe79a1-ac91-4a7b-a9e3-7c84bfa9ddf0|Type: DailyMed RefID: b1b0fa3e-11c3-46d0-9537-6b372c2a1b56 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b1b0fa3e-11c3-46d0-9537-6b372c2a1b56|Type: DailyMed RefID: 2f994aed-f8e7-4967-a167-b22b783b4192 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f994aed-f8e7-4967-a167-b22b783b4192|Type: DailyMed RefID: 0a83e716-b688-433f-ac27-ae95132810cf URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0a83e716-b688-433f-ac27-ae95132810cf|Type: FDA RefID: d4c7d621-9642-4027-e053-2995a90a9220 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d4c7d621-9642-4027-e053-2995a90a9220
CHEMBL1200885,CHEMBL1110,ALOSETRON,Black Box Warning,gastrointestinal toxicity,None,United States: None,None,None,EFO:0011050,Type: DailyMed RefID: e91c4a69-2ad5-4e21-a279-9e1302b1a3d3 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e91c4a69-2ad5-4e21-a279-9e1302b1a3d3|Type: DailyMed RefID: 9c359516-2981-4951-a672-ae2aa2cc10e7 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9c359516-2981-4951-a672-ae2aa2cc10e7|Type: FDA RefID: 38f5341f-5ae3-46bf-8bfc-30dff2068477 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38f5341f-5ae3-46bf-8bfc-30dff2068477|Type: FDA RefID: 2846a244-7540-442b-81bc-638e641497ce URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2846a244-7540-442b-81bc-638e641497ce
CHEMBL290106,CHEMBL290106,BITHIONOL,Withdrawn,dermatological toxicity,shown to be a potent photosensitizer with the potential to cause serious skin disorders,United States: 1967,EFO:1000753,phototoxic dermatitis,EFO:0011048,Type: USGPO RefID: FR-1998-10-08/html/98-26923.htm URL: https://www.govinfo.gov/content/pkg/FR-1998-10-08/html/98-26923.htm|Type: USGPO RefID: FR-1998-10-08/html/98-26923.htm URL: https://www.govinfo.gov/content/pkg/FR-1998-10-08/html/98-26923.htm|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134
CHEMBL15677,CHEMBL15677,FENCLOFENAC,Withdrawn,dermatological toxicity,Cutaneous Reactions; Animal Carcinogenicity,"United Kingdom: 1984,Worldwide: 1984",EFO:0006346,severe cutaneous adverse reaction,EFO:0011048,Type: PubMed RefID: 7628177 URL: http://europepmc.org/abstract/MED/7628177|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: WHO RefID: CL12.pdf URL: https://www.un.org/esa/coordination/CL12.pdf
CHEMBL1183717,CHEMBL1183717,ALMITRINE,Withdrawn,None,Serious and long-lasting peripheral neuropathy (damage to the nerves in the hands and feet) and significant weight loss that further weakens patients,European Union: 2013,HP:0001824,Weight loss,None,Type: EMA RefID: documents/referral/almitrine-article-31-oral-almitrine-be-withdrawn-eu-member-states_en.pdf URL: https://www.ema.europa.eu/en/documents/referral/almitrine-article-31-oral-almitrine-be-withdrawn-eu-member-states_en.pdf
CHEMBL3181947,CHEMBL1077,BROMFENAC,Withdrawn,hepatotoxicity,Severe hepatitis and liver failure (some requiring transplantation); Hepatic Failure; Off-Label Abuse,"Saudi Arabia: 1998,United States: 1998",EFO:0004228,drug-induced liver injury,EFO:0011052,Type: PubMed RefID: 21574210 URL: http://europepmc.org/abstract/MED/21574210|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: USGPO RefID: FR-2014-07-02/pdf/2014-15371.pdf URL: https://www.govinfo.gov/content/pkg/FR-2014-07-02/pdf/2014-15371.pdf|Type: USGPO RefID: FR-2014-07-02/pdf/2014-15371.pdf URL: https://www.govinfo.gov/content/pkg/FR-2014-07-02/pdf/2014-15371.pdf|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: PubMed RefID: 21574210 URL: http://europepmc.org/abstract/MED/21574210|Type: USGPO RefID: FR-2014-07-02/pdf/2014-15371.pdf URL: https://www.govinfo.gov/content/pkg/FR-2014-07-02/pdf/2014-15371.pdf|Type: PubMed RefID: 21574210 URL: http://europepmc.org/abstract/MED/21574210|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134
CHEMBL53292,CHEMBL53292,ISOXICAM,Withdrawn,dermatological toxicity,Stevens Johnson Syndrome; Toxic Epidermal Necrolysis,"Spain: 1983,France: 1983,Germany: 1983",EFO:0004775,toxic epidermal necrolysis,EFO:0011048,Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134
CHEMBL1111,CHEMBL1111,AMBRISENTAN,Black Box Warning,teratogenicity,None,United States: None,None,None,EFO:0009880,Type: DailyMed RefID: e20ab2fe-bc9f-48a3-b15a-e4bc9532c2ac URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e20ab2fe-bc9f-48a3-b15a-e4bc9532c2ac|Type: DailyMed RefID: 7e8e16a1-9a35-4370-9291-494808fa3018 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e8e16a1-9a35-4370-9291-494808fa3018|Type: FDA RefID: 82e51c75-fb78-4ad3-8bce-5e0581d60014 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=82e51c75-fb78-4ad3-8bce-5e0581d60014
CHEMBL1874750,CHEMBL1874750,CINEPAZIDE,Withdrawn,hematological toxicity,Agranulocytosis,Spain: 1987,HP:0012234,Agranulocytosis,EFO:0011051,Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: PubMed RefID: 7628177 URL: http://europepmc.org/abstract/MED/7628177
CHEMBL957,CHEMBL957,BOSENTAN,Black Box Warning,hepatotoxicity,None,United States: None,None,None,EFO:0011052,Type: DailyMed RefID: aceac005-5c16-41bf-9a5f-35ed4b2c1096 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aceac005-5c16-41bf-9a5f-35ed4b2c1096|Type: DailyMed RefID: 167f6a5e-7dd6-b45a-3fe5-c1f28e81ce0a URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=167f6a5e-7dd6-b45a-3fe5-c1f28e81ce0a
CHEMBL2104489,CHEMBL2104489,ANAGESTONE ACETATE,Withdrawn,carcinogenicity,Animal Carcinogenicity,"Austria: 1969,Germany: 1969",EFO:0011046,carcinogenicity,EFO:0011046,Type: WHO RefID: CL12.pdf URL: https://www.un.org/esa/coordination/CL12.pdf|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134
CHEMBL1200978,CHEMBL1200978,ARSENIC TRIOXIDE,Black Box Warning,carcinogenicity,None,United States: None,None,None,EFO:0011046,Type: DailyMed RefID: a482eccd-8837-47ea-904d-2f2c294d10fa URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a482eccd-8837-47ea-904d-2f2c294d10fa|Type: DailyMed RefID: 2b2a7ed9-5ed3-42fc-b19b-d50700396233 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b2a7ed9-5ed3-42fc-b19b-d50700396233|Type: DailyMed RefID: f684f18f-afae-4430-a6af-63aae21b3571 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f684f18f-afae-4430-a6af-63aae21b3571|Type: FDA RefID: d9b3389d-bd95-4559-b3c7-099a57be8b1a URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d9b3389d-bd95-4559-b3c7-099a57be8b1a|Type: FDA RefID: 5845022e-8c01-451b-ae49-a28e58c5f845 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5845022e-8c01-451b-ae49-a28e58c5f845|Type: FDA RefID: a9008658-c2dd-49f4-b1c4-26e232c81957 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a9008658-c2dd-49f4-b1c4-26e232c81957
CHEMBL1887891,CHEMBL248702,DEXFENFLURAMINE,Withdrawn,cardiotoxicity,Cardiac valvular disease,"European Union: 1997,United Kingdom: 1997,Saudi Arabia: 1997,India: 1997,Malaysia: 1997,Canada: 1997,United States: 1997",EFO:0009551,heart valve disease,EFO:1001482,Type: USGPO RefID: 2007/01/30/E7-1414/indevus-pharmaceuticals-inc-withdrawal-of-approval-of-a-new-drug-application URL: https://www.federalregister.gov/documents/2007/01/30/E7-1414/indevus-pharmaceuticals-inc-withdrawal-of-approval-of-a-new-drug-application|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134
CHEMBL296419,CHEMBL296419,ASTEMIZOLE,Withdrawn,cardiotoxicity,Prolongation of the QT-interval and ventricular arrhythmias,"United States: 1998,Mauritius: 1998,Argentina: 1998,Armenia: 1998,United Arab Emirates: 1998,Brunei: 1998,South Africa: 1998,Tanzania: 1998,Malaysia: 1998,Bhutan: 1998,Singapore: 1998,Spain: 1998,Philippines: 1998,Chile: 1998",HP:0004308,Ventricular arrhythmia,EFO:1001482,Type: WHO RefID: EDM-QSM-2001.3 URL: https://www.who.int/publications/i/item/EDM-QSM-2001.3|Type: WHO RefID: CL12.pdf URL: https://www.un.org/esa/coordination/CL12.pdf|Type: PubMed RefID: 21574210 URL: http://europepmc.org/abstract/MED/21574210|Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134|Type: USGPO RefID: FR-2014-07-02/pdf/2014-15371.pdf URL: https://www.govinfo.gov/content/pkg/FR-2014-07-02/pdf/2014-15371.pdf|Type: WHO RefID: EDM-QSM-2001.3 URL: https://www.who.int/publications/i/item/EDM-QSM-2001.3|Type: WHO RefID: WHO-EMP-QSM-2008.3 URL: https://apps.who.int/iris/bitstream/handle/10665/336530/WHO-EMP-QSM-2008.3-eng.pdf
CHEMBL129,CHEMBL129,ZIDOVUDINE,Black Box Warning,metabolic toxicity,None,United States: None,None,None,EFO:0011054,Type: DailyMed RefID: 54e21b7b-939c-4afa-9492-bde2b36dd352 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=54e21b7b-939c-4afa-9492-bde2b36dd352|Type: DailyMed RefID: cd3f2a72-3f01-49ba-9efe-9f2e6fedbd01 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cd3f2a72-3f01-49ba-9efe-9f2e6fedbd01|Type: DailyMed RefID: 51abd2ce-6be1-412d-b806-5f24935ac5e3 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51abd2ce-6be1-412d-b806-5f24935ac5e3
CHEMBL1200396,CHEMBL1098,BUPIVACAINE,Black Box Warning,cardiotoxicity,None,United States: None,None,None,EFO:1001482,Type: DailyMed RefID: 464690ce-cc70-4bbb-8769-69b710908be1 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=464690ce-cc70-4bbb-8769-69b710908be1|Type: DailyMed RefID: f3184f46-6b6a-49f8-8045-448cb58e676b URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f3184f46-6b6a-49f8-8045-448cb58e676b|Type: DailyMed RefID: d6f47555-0e2a-48b8-a488-c9aa91736c17 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d6f47555-0e2a-48b8-a488-c9aa91736c17|Type: FDA RefID: 8815c8c6-eed8-4afe-a5c1-44d2194025a3 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8815c8c6-eed8-4afe-a5c1-44d2194025a3|Type: FDA RefID: 02a845c3-4521-4926-e397-25ab536e7cf6 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=02a845c3-4521-4926-e397-25ab536e7cf6
CHEMBL1200964,CHEMBL629,AMITRIPTYLINE,Black Box Warning,psychiatric toxicity,None,United States: None,None,None,EFO:0011059,Type: DailyMed RefID: 61d2da8d-b435-4ada-a013-401786f7cace URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=61d2da8d-b435-4ada-a013-401786f7cace|Type: DailyMed RefID: 9faf560b-6022-42c3-8389-9a0e109a39c1 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9faf560b-6022-42c3-8389-9a0e109a39c1|Type: DailyMed RefID: 4e520c63-1cf6-40f6-a51c-3f9b0e181342 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e520c63-1cf6-40f6-a51c-3f9b0e181342|Type: DailyMed RefID: 063d2b43-87e6-443d-82e4-d93aaee269a8 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=063d2b43-87e6-443d-82e4-d93aaee269a8|Type: DailyMed RefID: 6ad58928-f21a-0673-e053-2a91aa0af990 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ad58928-f21a-0673-e053-2a91aa0af990|Type: FDA RefID: 63145927-4052-39c1-e053-2a91aa0a72dc URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=63145927-4052-39c1-e053-2a91aa0a72dc|Type: FDA RefID: 1338aff3-2796-43d4-be1e-b36d401ee41b URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1338aff3-2796-43d4-be1e-b36d401ee41b|Type: FDA RefID: 48a65c4c-bfee-1584-e054-00144ff88e88 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=48a65c4c-bfee-1584-e054-00144ff88e88
