effect,category,hazard_sys_norm,type,n_clinset1,n_clinset2,n_clinsetnon
abnormal circulating cholesterol level,NA,metabolic,nonclinical,NA,NA,8
abnormal circulating creatinine concentration,NA,renal,nonclinical,NA,NA,6
abnormal circulating dihydrotestosterone level,NA,endocrine,nonclinical,NA,NA,1
abnormal circulating enzyme level,NA,no category,nonclinical,NA,NA,31
abnormal circulating estradiol level,NA,endocrine,nonclinical,NA,NA,1
abnormal circulating glucose level,NA,metabolic,nonclinical,NA,NA,6
abnormal circulating gonadotropin level,NA,endocrine,nonclinical,NA,NA,1
abnormal circulating lactate dehydrogenase level,NA,metabolic,nonclinical,NA,NA,1
abnormal circulating lipase level,NA,metabolic,nonclinical,NA,NA,1
abnormal circulating phosphate level,NA,metabolic,nonclinical,NA,NA,4
abnormal circulating phospholipid concentration,NA,metabolic,nonclinical,NA,NA,5
abnormal circulating renin level,NA,endocrine,nonclinical,NA,NA,1
abnormal circulating sodium level,NA,metabolic,nonclinical,NA,NA,2
abnormal circulating testosterone level,NA,endocrine,nonclinical,NA,NA,2
abnormal circulating thyroxine level,NA,endocrine,nonclinical,NA,NA,1
abnormal circulating total protein level,NA,metabolic,nonclinical,NA,NA,6
abnormal circulating triglyceride level,NA,metabolic,nonclinical,NA,NA,8
abnormal cns myelination,NA,nervous,nonclinical,NA,NA,1
abnormal coat appearance,NA,dermal,nonclinical,NA,NA,128
abnormal coat/ hair morphology,NA,dermal,nonclinical,NA,NA,2
abnormal colon morphology,NA,gastrointestinal,nonclinical,NA,NA,5
abnormal compensatory feeding amount,NA,metabolic,nonclinical,NA,NA,2
abnormal corpus luteum morphology,NA,reproductive,nonclinical,NA,NA,4
abnormal defecation,NA,gastrointestinal,nonclinical,NA,NA,2
abnormal definitive hematopoiesis,NA,hematologic,nonclinical,NA,NA,2
abnormal dermis papillary layer morphology,NA,dermal,nonclinical,NA,NA,1
abnormal diestrus,NA,reproductive,nonclinical,NA,NA,4
abnormal dreams,incidental,nervous,clinical,2,4,NA
abnormal duodenum morphology,NA,gastrointestinal,nonclinical,NA,NA,12
abnormal ejaculation,NA,reproductive,clinical,NA,1,NA
abnormal endoplasmic reticulum morphology,NA,no category,nonclinical,NA,NA,3
abnormal epididymis epithelium morphology,NA,reproductive,nonclinical,NA,NA,2
abnormal epididymis morphology,NA,reproductive,nonclinical,NA,NA,10
abnormal epiphyseal plate morphology,NA,musculoskeletal,nonclinical,NA,NA,2
abnormal epithelial cell morphology,NA,no category,nonclinical,NA,NA,2
abnormal erythrocyte morphology,NA,hematologic,nonclinical,NA,NA,2
abnormal erythropoiesis,NA,hematologic,nonclinical,NA,NA,9
abnormal esophagus morphology,NA,respiratory,nonclinical,NA,NA,4
abnormal estrous cycle,NA,reproductive,nonclinical,NA,NA,10
abnormal extrahepatic bile duct morphology,NA,hepatic,nonclinical,NA,NA,1
abnormal eye size,NA,ocular,nonclinical,NA,NA,1
abnormal eyelid morphology,NA,ocular,nonclinical,NA,NA,1
abnormal facial skin morphology,NA,dermal,nonclinical,NA,NA,2
abnormal fatty acids level,NA,metabolic,nonclinical,NA,NA,1
abnormal feces composition,NA,gastrointestinal,nonclinical,NA,NA,81
abnormal femur compact bone thickness,NA,musculoskeletal,nonclinical,NA,NA,3
abnormal femur morphology,NA,musculoskeletal,nonclinical,NA,NA,8
abnormal follicle stimulating hormone level,NA,endocrine,nonclinical,NA,NA,2
abnormal food intake,NA,metabolic,nonclinical,NA,NA,10
abnormal forestomach morphology,NA,gastrointestinal,nonclinical,NA,NA,16
abnormal gait,NA,nervous,clinical,NA,NA,31
abnormal gait,NA,nervous,nonclinical,NA,NA,31
abnormal gastric chief cell morphology,NA,gastrointestinal,nonclinical,NA,NA,8
abnormal gastric gland morphology,NA,gastrointestinal,nonclinical,NA,NA,6
abnormal gastrointestinal motility,NA,gastrointestinal,nonclinical,NA,NA,3
abnormal gonad weight,NA,reproductive,nonclinical,NA,NA,1
abnormal granulocyte count,NA,hematologic,nonclinical,NA,NA,3
abnormal gut-associated lymphoid tissue morphology,NA,gastrointestinal,nonclinical,NA,NA,1
abnormal hair growth,NA,dermal,nonclinical,NA,NA,3
abnormal harderian gland morphology,NA,endocrine,nonclinical,NA,NA,3
abnormal harderian gland physiology,NA,endocrine,nonclinical,NA,NA,3
abnormal harderian gland pigmentation,NA,endocrine,nonclinical,NA,NA,3
abnormal head movements,NA,nervous,nonclinical,NA,NA,3
abnormal heart atrium auricular region morphology,NA,cardiovascular,nonclinical,NA,NA,1
abnormal heart weight,NA,cardiovascular,nonclinical,NA,NA,5
abnormal hemopoiesis,NA,hematologic,nonclinical,NA,NA,12
abnormal hepatic glycogen storage,NA,hepatic,nonclinical,NA,NA,1
abnormal hepatocyte morphology,NA,hepatic,nonclinical,NA,NA,37
abnormal hepatocyte physiology,NA,hepatic,nonclinical,NA,NA,5
abnormal ileum morphology,NA,gastrointestinal,nonclinical,NA,NA,4
abnormal incisor morphology,NA,dermal,nonclinical,NA,NA,13
abnormal intestine morphology,NA,gastrointestinal,nonclinical,NA,NA,15
abnormal jejunum morphology,NA,gastrointestinal,nonclinical,NA,NA,10
abnormal jeujunal goblet cell morphology,NA,gastrointestinal,nonclinical,NA,NA,1
abnormal kidney arterial blood vessel morphology,NA,renal,nonclinical,NA,NA,1
abnormal kidney morphology,NA,renal,nonclinical,NA,NA,25
abnormal kidney weight,NA,renal,nonclinical,NA,NA,10
abnormal kupffer cell morphology,NA,hepatic,nonclinical,NA,NA,18
abnormal large intestine morphology,NA,gastrointestinal,nonclinical,NA,NA,3
abnormal lean body mass,NA,metabolic,nonclinical,NA,NA,2
abnormal lens fiber morphology,NA,ocular,nonclinical,NA,NA,5
abnormal leukocyte cell number,NA,hematologic,nonclinical,NA,NA,3
abnormal lfts,NA,hepatic,clinical,1,NA,NA
abnormal limb morphology,NA,musculoskeletal,nonclinical,NA,NA,11
abnormal liver lobule morphology,NA,hepatic,nonclinical,NA,NA,24
abnormal liver morphology,NA,hepatic,nonclinical,NA,NA,66
abnormal liver physiology,NA,hepatic,nonclinical,NA,NA,14
abnormal liver sinusoidal endothelial cell morphology,NA,hepatic,nonclinical,NA,NA,1
abnormal liver weight,NA,hepatic,nonclinical,NA,NA,35
abnormal long bone internal diameter,NA,musculoskeletal,nonclinical,NA,NA,2
abnormal luminal closure,NA,reproductive,nonclinical,NA,NA,1
abnormal lung alveolus development,NA,respiratory,nonclinical,NA,NA,3
abnormal lung lobation,NA,respiratory,nonclinical,NA,NA,2
abnormal lung morphology,NA,respiratory,nonclinical,NA,NA,41
abnormal lung thrombosis,NA,respiratory,nonclinical,NA,NA,2
abnormal lung weight,NA,respiratory,nonclinical,NA,NA,1
abnormal lymph node morphology,NA,immune,nonclinical,NA,NA,25
abnormal lymphocyte count,NA,immune,nonclinical,NA,NA,7
abnormal macrophage morphology,NA,immune,nonclinical,NA,NA,1
abnormal magnesium level,NA,metabolic,nonclinical,NA,NA,1
abnormal male germ cell morphology,NA,reproductive,nonclinical,NA,NA,4
abnormal mammary gland development,NA,reproductive,nonclinical,NA,NA,4
abnormal mammary gland morphology,NA,reproductive,nonclinical,NA,NA,12
abnormal mammary gland pattern,NA,reproductive,nonclinical,NA,NA,8
abnormal mammary gland physiology,NA,reproductive,nonclinical,NA,NA,7
abnormal mean corpuscular hemoglobin,NA,hematologic,nonclinical,NA,NA,2
abnormal medulla morphology,NA,nervous,nonclinical,NA,NA,4
abnormal mesenteric fat pad morphology,NA,no category,nonclinical,NA,NA,2
abnormal mitosis,NA,no category,nonclinical,NA,NA,2
abnormal mucosa morphology,NA,gastrointestinal,nonclinical,NA,NA,3
abnormal muscle tone,NA,musculoskeletal,nonclinical,NA,NA,2
abnormal myelopoiesis,NA,hematologic,nonclinical,NA,NA,2
abnormal nasal cavity morphology,NA,respiratory,nonclinical,NA,NA,2
abnormal neutrophil cell number,NA,hematologic,nonclinical,NA,NA,2
abnormal nose morphology,NA,no category,nonclinical,NA,NA,4
abnormal outer ear morphology,NA,no category,nonclinical,NA,NA,1
abnormal ovarian follicle morphology,NA,reproductive,nonclinical,NA,NA,8
abnormal ovary morphology,NA,reproductive,nonclinical,NA,NA,4
abnormal pancreas morphology,NA,endocrine,nonclinical,NA,NA,13
abnormal parathyroid gland morphology,NA,endocrine,nonclinical,NA,NA,4
abnormal parotid gland morphology,NA,gastrointestinal,nonclinical,NA,NA,3
abnormal penis morphology,NA,reproductive,nonclinical,NA,NA,3
abnormal perineum morphology,NA,no category,nonclinical,NA,NA,1
abnormal periodontal ligament morphology,NA,no category,nonclinical,NA,NA,1
abnormal peyer's patch epithelium morphology,NA,gastrointestinal,nonclinical,NA,NA,1
abnormal posture,NA,nervous,nonclinical,NA,NA,57
abnormal preputial gland morphology,NA,reproductive,nonclinical,NA,NA,1
abnormal prostate gland physiology,NA,reproductive,nonclinical,NA,NA,5
abnormal prostate morphology,NA,reproductive,nonclinical,NA,NA,12
abnormal proximal convoluted tubule morphology,NA,renal,nonclinical,NA,NA,2
abnormal pupillary light reflex,NA,ocular,nonclinical,NA,NA,2
abnormal red blood cell count,NA,hematologic,nonclinical,NA,NA,2
abnormal renal function,NA,renal,clinical,NA,1,NA
"abnormal renal function (e.g., creatinine increase)",NA,renal,clinical,NA,NA,NA
"abnormal renal function (e.g., creatinine increase) leading to drug discontinuation",NA,renal,clinical,NA,NA,NA
abnormal renal function leading to drug discontinuation,NA,renal,clinical,NA,1,NA
abnormal renal tubule morphology,NA,renal,nonclinical,NA,NA,32
abnormal reproductive system morphology,NA,reproductive,nonclinical,NA,NA,2
abnormal respiratory sounds,NA,respiratory,nonclinical,NA,NA,27
abnormal response to tactile stimuli,NA,nervous,nonclinical,NA,NA,1
abnormal reticulocyte cell number,NA,hematologic,nonclinical,NA,NA,1
abnormal retinal outer nuclear layer morphology,NA,ocular,nonclinical,NA,NA,2
abnormal retinal vascular morphology,NA,ocular,nonclinical,NA,NA,11
abnormal righting response,NA,nervous,nonclinical,NA,NA,4
abnormal salivary gland morphology,NA,gastrointestinal,nonclinical,NA,NA,7
abnormal salivary gland weight,NA,gastrointestinal,nonclinical,NA,NA,3
abnormal sciatic nerve morphology,NA,nervous,nonclinical,NA,NA,3
abnormal scrotum pigmentation,NA,reproductive,nonclinical,NA,NA,2
abnormal seminal vesicle morphology,NA,reproductive,nonclinical,NA,NA,5
abnormal seminal vesicle physiology,NA,reproductive,nonclinical,NA,NA,3
abnormal seminiferous tubule morphology,NA,reproductive,nonclinical,NA,NA,3
abnormal sex cord morphology,NA,reproductive,nonclinical,NA,NA,1
abnormal skeletal muscle morphology,NA,musculoskeletal,nonclinical,NA,NA,2
abnormal skin appearance,NA,dermal,nonclinical,NA,NA,52
abnormal skin coloration,NA,dermal,nonclinical,NA,NA,23
abnormal skin condition,NA,dermal,nonclinical,NA,NA,6
abnormal skin exfoliation,NA,dermal,nonclinical,NA,NA,7
abnormal small intestine morphology,NA,gastrointestinal,nonclinical,NA,NA,6
abnormal snout morphology,NA,no category,nonclinical,NA,NA,1
abnormal sperm morphology,NA,reproductive,nonclinical,NA,NA,14
abnormal sperm motility,NA,reproductive,nonclinical,NA,NA,1
abnormal sperm number,NA,reproductive,nonclinical,NA,NA,1
abnormal spermatid morphology,NA,reproductive,nonclinical,NA,NA,2
abnormal spermatocyte morphology,NA,reproductive,nonclinical,NA,NA,1
abnormal spermatogonia morphology,NA,reproductive,nonclinical,NA,NA,1
abnormal spleen morphology,NA,immune,nonclinical,NA,NA,33
abnormal spleen weight,NA,immune,nonclinical,NA,NA,4
abnormal sternum morphology,NA,no category,nonclinical,NA,NA,3
abnormal stomach glandular region morphology,NA,gastrointestinal,nonclinical,NA,NA,3
abnormal stomach morphology,NA,gastrointestinal,nonclinical,NA,NA,32
abnormal stomach mucosa morphology,NA,gastrointestinal,nonclinical,NA,NA,11
abnormal survival,NA,no category,nonclinical,NA,NA,586
abnormal synovial joint morphology,NA,musculoskeletal,nonclinical,NA,NA,3
abnormal t wave,NA,cardiovascular,nonclinical,NA,NA,2
abnormal tail morphology,NA,no category,nonclinical,NA,NA,10
abnormal tail pigmentation,NA,dermal,nonclinical,NA,NA,2
abnormal tail tip morphology,NA,no category,nonclinical,NA,NA,1
abnormal testis morphology,NA,reproductive,nonclinical,NA,NA,21
abnormal testis weight,NA,reproductive,nonclinical,NA,NA,6
abnormal thymus apoptosis,NA,immune,nonclinical,NA,NA,1
abnormal thymus involution,NA,immune,nonclinical,NA,NA,12
abnormal thymus morphology,NA,immune,nonclinical,NA,NA,22
abnormal thymus weight,NA,immune,nonclinical,NA,NA,2
abnormal thyroid follicle morphology,NA,endocrine,nonclinical,NA,NA,11
abnormal thyroid gland weight,NA,endocrine,nonclinical,NA,NA,4
abnormal thyroid hormone level,NA,endocrine,nonclinical,NA,NA,2
abnormal thyroid-stimulating hormone level,NA,endocrine,nonclinical,NA,NA,1
abnormal tongue morphology,NA,no category,nonclinical,NA,NA,1
abnormal tooth color,NA,dermal,nonclinical,NA,NA,3
abnormal tooth eruption,NA,dermal,nonclinical,NA,NA,3
abnormal tooth morphology,NA,dermal,nonclinical,NA,NA,53
abnormal trachea gland morphology,NA,no category,nonclinical,NA,NA,1
abnormal triiodothyronine level,NA,endocrine,nonclinical,NA,NA,1
abnormal upper incisor morphology,NA,dermal,nonclinical,NA,NA,4
abnormal urinary bladder morphology,NA,renal,nonclinical,NA,NA,7
abnormal urinary bladder mucosa morphology,NA,renal,nonclinical,NA,NA,7
abnormal urinary mineral level,NA,renal,nonclinical,NA,NA,4
abnormal urine color,NA,renal,nonclinical,NA,NA,4
abnormal urine creatinine level,NA,renal,nonclinical,NA,NA,1
abnormal urine protein level,NA,renal,nonclinical,NA,NA,2
abnormal urogenital fold morphology,NA,no category,nonclinical,NA,NA,6
abnormal uterus morphology,NA,reproductive,nonclinical,NA,NA,8
abnormal uterus weight,NA,reproductive,nonclinical,NA,NA,10
abnormal vagina epithelium morphology,NA,reproductive,nonclinical,NA,NA,13
abnormal vagina orifice morphology,NA,reproductive,nonclinical,NA,NA,3
abnormal vertebral column morphology,NA,musculoskeletal,nonclinical,NA,NA,3
abnormal vision,NA,ocular,clinical,1,1,NA
abnormal white fat cell morphology,NA,no category,nonclinical,NA,NA,1
abnormality of dentin,NA,dermal,nonclinical,NA,NA,4
abnormality of neutrophils,NA,hematologic,nonclinical,NA,NA,1
abnormality of salivation,NA,gastrointestinal,nonclinical,NA,NA,3
abnormality of subcutaneous tissues,NA,no category,nonclinical,NA,NA,1
abnormality of the abdominal organs,NA,gastrointestinal,nonclinical,NA,NA,1
abnormality of the gastrointestinal tract,NA,gastrointestinal,nonclinical,NA,NA,21
abnormality of the gingiva,NA,dermal,nonclinical,NA,NA,1
abnormality of the lens,NA,ocular,nonclinical,NA,NA,2
abnormality of the orbital region,NA,ocular,nonclinical,NA,NA,1
abnormality of the sublingual glands,NA,gastrointestinal,nonclinical,NA,NA,1
abnormality of the thymus,NA,immune,nonclinical,NA,NA,6
abnormality of the thyroid gland,NA,endocrine,nonclinical,NA,NA,5
abnormality of upper lip,NA,no category,nonclinical,NA,NA,1
abominal pain,incidental,gastrointestinal,clinical,1,NA,NA
abscess,NA,no category,nonclinical,NA,NA,6
absent corpus luteum,NA,reproductive,nonclinical,NA,NA,3
absent estrous cycle,NA,reproductive,nonclinical,NA,NA,3
absent incisors,NA,dermal,nonclinical,NA,NA,8
absent tooth root,NA,dermal,nonclinical,NA,NA,1
acanthosis,NA,dermal,nonclinical,NA,NA,11
accident household,incidental,no category,clinical,NA,NA,NA
accidental injury,incidental,no category,clinical,1,2,NA
accidental trauma,incidental,no category,clinical,NA,NA,NA
accommodation abnormal,NA,no category,clinical,NA,NA,NA
aciduria,NA,renal,nonclinical,NA,NA,2
acne,NA,dermal,clinical,5,NA,NA
actinic keratosis,NA,dermal,clinical,NA,NA,NA
activated partial thromboplastin time prolonged,NA,hematologic,clinical,NA,NA,NA
activated partial thromboplastin time ratio decreased,NA,hematologic,nonclinical,NA,NA,9
activated partial thromboplastin time ratio increased,NA,hematologic,nonclinical,NA,NA,11
activated partial thromboplastin time shortened,NA,hematologic,nonclinical,NA,NA,12
acute coronary syndrome,NA,cardiovascular,clinical,NA,1,NA
acute gvhd in skin,NA,immune,clinical,2,NA,NA
acute renal failure,NA,renal,clinical,NA,NA,NA
adhesion of lung,NA,respiratory,nonclinical,NA,NA,2
adhesion; liver,NA,hepatic,nonclinical,NA,NA,3
adhesions of uterus,NA,reproductive,nonclinical,NA,NA,1
adipose tissue atrophy,NA,metabolic,nonclinical,NA,NA,5
adipose tissue necrosis,NA,metabolic,nonclinical,NA,NA,1
adipose tissue of abdominal region,NA,metabolic,nonclinical,NA,NA,1
adrenal cortex; hypertrophy,NA,endocrine,nonclinical,NA,NA,30
adrenal degeneration,NA,endocrine,nonclinical,NA,NA,6
adrenal gland atrophy,NA,endocrine,nonclinical,NA,NA,10
adrenal gland cyst,NA,endocrine,nonclinical,NA,NA,1
adrenal gland discoloration,NA,endocrine,nonclinical,NA,NA,16
adrenal gland hyperplasia,NA,endocrine,nonclinical,NA,NA,40
adrenal hemorrhage,NA,endocrine,nonclinical,NA,NA,9
adrenal pigment deposits,NA,endocrine,nonclinical,NA,NA,1
adrenalitis,NA,endocrine,nonclinical,NA,NA,4
adrenals necrosis,NA,endocrine,nonclinical,NA,NA,11
adrenocortical abnormality,NA,endocrine,nonclinical,NA,NA,1
adverse behavior effect,NA,nervous,clinical,1,NA,NA
aggravated restlessness,NA,nervous,clinical,1,NA,NA
aggression,NA,nervous,clinical,NA,NA,NA
aggressive behavior,NA,nervous,nonclinical,NA,NA,6
agitation,NA,nervous,clinical,NA,1,1
agitation,NA,nervous,nonclinical,NA,1,1
agitation / irritability,NA,nervous,clinical,NA,2,NA
akathisia,NA,nervous,clinical,6,5,NA
"akathisia (akathisia, restlessness)",NA,nervous,clinical,NA,NA,NA
akathisia/agitation/restlessness,NA,nervous,clinical,NA,NA,NA
akinesia,NA,nervous,clinical,1,NA,NA
alanine�transaminase increased,NA,hepatic,clinical,NA,NA,NA
albumin decreased,NA,hematologic,clinical,NA,NA,NA
albumin globulin ratio decreased,NA,metabolic,nonclinical,NA,NA,65
albumin globulin ratio increased,NA,metabolic,nonclinical,NA,NA,54
alkaline phosphase increase,NA,hepatic,clinical,1,NA,NA
alkaline phosphatase,NA,hepatic,clinical,1,NA,NA
alkaline phosphatase decrease,NA,hepatic,clinical,1,NA,NA
alkaline phosphatase increase,NA,hepatic,clinical,2,NA,NA
allergic reaction,incidental,immune,clinical,NA,NA,NA
allergy,incidental,immune,clinical,1,NA,NA
allergy ,incidental,immune,clinical,NA,NA,NA
alopecia,NA,dermal,clinical,10,6,94
alopecia,NA,dermal,nonclinical,10,6,94
ALT increase,NA,hepatic,clinical,49,NA,NA
alt increase,NA,hepatic,clinical,NA,10,NA
altered ecg intervals,NA,cardiovascular,clinical,NA,NA,NA
altered taste,incidental,nervous,clinical,1,NA,NA
alveolar macrophage,NA,hematologic,nonclinical,NA,NA,11
alveolitis,NA,respiratory,nonclinical,NA,NA,4
amblyopia,NA,ocular,clinical,1,NA,NA
ameloblast degeneration,NA,dermal,nonclinical,NA,NA,8
amenorrhea,NA,reproductive,clinical,1,NA,NA
amnesia,NA,nervous,clinical,3,1,NA
amylase,NA,gastrointestinal,clinical,NA,NA,NA
amylase change,NA,gastrointestinal,clinical,1,NA,NA
amylase increased,NA,gastrointestinal,clinical,NA,1,NA
amylase/lipase elevation,NA,metabolic,clinical,1,NA,NA
and platelets,NA,hematologic,clinical,1,NA,NA
anemia,NA,hematologic,clinical,19,13,21
anemia,NA,hematologic,nonclinical,19,13,21
anemia (b),NA,hematologic,clinical,NA,NA,NA
anemia (including laboratory parameters),NA,hematologic,clinical,NA,NA,NA
anger,NA,nervous,clinical,NA,1,NA
angiectasis,NA,cardiovascular,nonclinical,NA,NA,6
angina,NA,cardiovascular,clinical,1,NA,NA
angina pectoris,NA,cardiovascular,clinical,1,NA,NA
angioedema mentioned,incidental,dermal,clinical,NA,NA,NA
anisocytosis,NA,hematologic,nonclinical,NA,NA,2
anorexia,NA,metabolic,clinical,13,13,NA
anorexia,NA,metabolic,clinical,13,13,NA
anorgasmia,NA,nervous,clinical,1,1,NA
anxiety,NA,nervous,clinical,5,9,NA
anxiety/anxiety aggravated,NA,nervous,clinical,NA,NA,NA
any adverse reaction,NA,no category,clinical,NA,1,NA
any event,NA,no category,clinical,NA,2,NA
ap >1-2.5x uln,NA,hepatic,clinical,NA,NA,NA
ap increase,NA,hepatic,clinical,1,NA,NA
apathy,NA,nervous,clinical,1,NA,NA
aphasia,NA,nervous,clinical,1,NA,NA
aplasia/hypoplasia of the lens,NA,ocular,nonclinical,NA,NA,1
apnea,NA,respiratory,nonclinical,NA,NA,2
apoptotic process,NA,no category,nonclinical,NA,NA,3
appetite increase,NA,metabolic,clinical,2,NA,NA
arrhythmia,NA,cardiovascular,clinical,1,NA,NA
arteritis,NA,cardiovascular,nonclinical,NA,NA,5
arthralgia,NA,musculoskeletal,clinical,14,10,NA
arthralgia & articular rheumatism,NA,musculoskeletal,clinical,1,NA,NA
arthralgia/musculoskeletal pain,NA,musculoskeletal,clinical,1,NA,NA
arthralgia/myalgia,NA,musculoskeletal,clinical,NA,1,NA
arthralgia/myalgia (f),NA,musculoskeletal,clinical,NA,NA,NA
arthritis,NA,musculoskeletal,clinical,NA,NA,NA
arthropathy,NA,musculoskeletal,clinical,NA,NA,NA
ascites,NA,gastrointestinal,clinical,1,NA,2
ascites,NA,gastrointestinal,nonclinical,1,NA,2
aspartate�transaminase increased,NA,hepatic,clinical,NA,NA,NA
AST increase,NA,hepatic,clinical,32,NA,NA
ast increase,NA,hepatic,clinical,NA,4,NA
asthenia,incidental,no category,clinical,12,9,NA
asthenia/fatigue,incidental,no category,clinical,1,2,NA
asthenic conditions,incidental,no category,clinical,NA,3,NA
asthenic conditions (4),incidental,no category,clinical,NA,NA,NA
asthenopia,incidental,no category,clinical,NA,NA,NA
at least one clinically significant decreased neutrophil count (<1.0 x 109/l).,NA,hematologic,clinical,NA,NA,NA
at least one clinically significant decreased white blood cell count (<3.0 x 109/l),NA,hematologic,clinical,NA,NA,NA
ataxia,NA,nervous,clinical,3,11,25
ataxia,NA,nervous,nonclinical,3,11,25
athenia,incidental,no category,clinical,1,NA,NA
"atretic follicles, increased number",NA,reproductive,nonclinical,NA,NA,1
atrial fibrillation,NA,cardiovascular,clinical,NA,1,NA
atrophy,NA,no category,nonclinical,NA,NA,23
atrophy of hair follicle,NA,reproductive,nonclinical,NA,NA,5
atrophy of liver,NA,hepatic,nonclinical,NA,NA,7
atrophy of prostate,NA,reproductive,nonclinical,NA,NA,22
atrophy of salivary gland,NA,gastrointestinal,nonclinical,NA,NA,12
atrophy of the pituitary,NA,endocrine,nonclinical,NA,NA,2
atypical sensation,NA,no category,clinical,NA,1,NA
autolysis,NA,no category,nonclinical,NA,NA,2
